# Export CSV from Simcenter Amesim 2022.1 (encoding="UTF - 8 - BOM")
"Time filename=E214E01752TR1220830031637filtered.data  ""7""","twistlock filename=E214E01752TR1220830031637filtered.data  ""7""","loadedunloaded filename=E214E01752TR1220830031637filtered.data  ""7""","tel.liftpressure filename=E214E01752TR1220830031637filtered.data  ""7""","liftheight filename=E214E01752TR1220830031637filtered.data  ""7""","Ps_liftpressure filename=E214E01752TR1220830031637filtered.data  ""7""","vehiclespeed filename=E214E01752TR1220830031637filtered.data  ""7""","Loadweight filtered filename=E214E01752TR1220830031637filtered.data  ""7"""
"s","null","null","null","null","null","null","kg"
0.00000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,1.71000000000000e+02,1.91820000000000e+03,1.24380000000000e+02,3.39843750000000e+00,4.69380929070847e+02
1.00000000000000e-01,0.00000000000000e+00,1.00000000000000e+00,1.71000000000000e+02,1.91820000000000e+03,1.24502849821912e+02,3.39843750000000e+00,4.99839921371615e+02
2.00000000000000e-01,0.00000000000000e+00,1.00000000000000e+00,1.73000000000000e+02,1.91820000000000e+03,1.23993092268199e+02,3.40697155091545e+00,5.32275453737218e+02
3.00000000000001e-01,0.00000000000000e+00,1.00000000000000e+00,1.59000000000000e+02,1.91820000000000e+03,1.23468989175293e+02,3.77343750000000e+00,5.66815787489940e+02
4.00000000000001e-01,0.00000000000000e+00,1.00000000000000e+00,1.59000000000000e+02,1.91820000000000e+03,1.22952400910076e+02,3.77343750000000e+00,6.03597507065308e+02
5.00000000000001e-01,0.00000000000000e+00,1.00000000000000e+00,1.37000000000000e+02,1.91820000000000e+03,1.22475038021303e+02,3.77498772624267e+00,6.42766060114233e+02
6.00000000000001e-01,0.00000000000000e+00,1.00000000000000e+00,1.36000000000000e+02,1.91820000000000e+03,1.22205550444301e+02,4.15234375000000e+00,6.84476332653361e+02
7.00000000000002e-01,0.00000000000000e+00,1.00000000000000e+00,1.36000000000000e+02,1.91820000000000e+03,1.23017288488938e+02,4.15392861690038e+00,7.28893261538002e+02
8.00000000000002e-01,0.00000000000000e+00,1.00000000000000e+00,1.71000000000000e+02,1.91820000000000e+03,1.24615169715170e+02,4.53125000000000e+00,7.76192486679542e+02
9.00000000000002e-01,0.00000000000000e+00,1.00000000000000e+00,1.71000000000000e+02,1.91820000000000e+03,1.26326456927292e+02,4.53125000000000e+00,8.26561045586454e+02
1.00000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.12000000000000e+02,1.91820000000000e+03,1.26857782848383e+02,4.53292410766153e+00,8.80198112975343e+02
1.10000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.12000000000000e+02,1.91820000000000e+03,1.26353146538407e+02,4.90623887148948e+00,9.37315788376722e+02
1.20000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.10000000000000e+02,1.91820000000000e+03,1.24442762697557e+02,4.90625000000000e+00,9.97915749280049e+02
1.30000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,1.37000000000000e+02,1.91820000000000e+03,1.22318478168785e+02,4.90625000000000e+00,1.06146126173192e+03
1.40000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,1.37000000000000e+02,1.91047087074542e+03,1.20956375049419e+02,4.90625000000000e+00,1.12704305643865e+03
1.50000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,1.04000000000000e+02,1.90440000000000e+03,1.19750485193707e+02,5.28515625000000e+00,1.19378877266060e+03
1.60000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,8.70000000000000e+01,1.90440000000000e+03,1.19241732153663e+02,5.28515625000000e+00,1.26098513644512e+03
1.70000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,8.70000000000000e+01,1.90440000000000e+03,1.18675593664740e+02,5.28515625000000e+00,1.32804571555441e+03
1.80000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,4.30000000000000e+01,1.90440000000000e+03,1.16966405723849e+02,5.28709095438265e+00,1.39449003449774e+03
