# Export CSV from Simcenter Amesim 2022.1 (encoding="UTF - 8 - BOM")
"Time filename=E214E01752T_R1_211110_084832.data  ""3""","twistlock filename=E214E01752T_R1_211110_084832.data  ""3""","loadedunloaded filename=E214E01752T_R1_211110_084832.data  ""3""","tel.liftpressure filename=E214E01752T_R1_211110_084832.data  ""3""","liftheight filename=E214E01752T_R1_211110_084832.data  ""3""","Ps_liftpressure[barl] filename=E214E01752T_R1_211110_084832.data  ""3""","vehiclespeed filename=E214E01752T_R1_211110_084832.data  ""3""","Loadweight filtered filename=E214E01752T_R1_211110_084832.data  ""3"""
"s","null","null","null","null","null","null","kg"
0.00000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,7.30000000000000e+01,1.53180000000000e+03,8.56000000000000e+01,0.00000000000000e+00,6.34822916309318e-02
1.00000000000000e-01,1.00000000000000e+00,0.00000000000000e+00,7.80000000000000e+01,1.53180000000000e+03,8.58300000000000e+01,0.00000000000000e+00,6.76017743628980e-02
2.00000000000000e-01,1.00000000000000e+00,0.00000000000000e+00,8.10000000000000e+01,1.53180000000000e+03,8.59500000000000e+01,0.00000000000000e+00,7.19885779105278e-02
3.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,8.00000000000000e+01,1.53180000000000e+03,8.59100000000000e+01,0.00000000000000e+00,7.66600492135066e-02
4.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,8.00000000000000e+01,1.53180000000000e+03,8.59300000000000e+01,2.73437500000003e-01,8.16346608863601e-02
5.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,8.10000000000000e+01,1.53180000000000e+03,8.59100000000000e+01,1.01562499999996e-01,8.69320842655664e-02
6.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,8.20000000000000e+01,1.53180000000000e+03,8.59000000000000e+01,0.00000000000000e+00,9.25732671968288e-02
7.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,8.20000000000000e+01,1.53180000000000e+03,8.59300000000000e+01,2.65625000000005e-01,9.85805168701097e-02
8.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,8.10000000000000e+01,1.53180000000000e+03,8.60100000000000e+01,3.75000000000000e-01,1.04977588029980e-01
9.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,8.10000000000000e+01,1.53180000000000e+03,8.60100000000000e+01,3.75000000000000e-01,1.11789776910104e-01
1.00000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.20000000000000e+01,1.53180000000000e+03,8.60000000000000e+01,3.75000000000000e-01,1.19044021263298e-01
1.10000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.20000000000000e+01,1.53180000000000e+03,8.60300000000000e+01,3.75000000000000e-01,1.26769006882737e-01
1.20000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.20000000000000e+01,1.53180000000000e+03,8.59800000000000e+01,3.75000000000000e-01,1.34995281035504e-01
1.30000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.00000000000000e+01,1.53180000000000e+03,8.59500000000000e+01,3.75000000000000e-01,1.43755373257060e-01
1.40000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.10000000000000e+01,1.53180000000000e+03,8.59800000000000e+01,3.75000000000000e-01,1.53083923984288e-01
1.50000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.50000000000004e+01,1.53180000000000e+03,8.61300000000000e+01,3.75000000000000e-01,1.63017821535769e-01
1.60000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.70000000000000e+01,1.53180000000000e+03,8.62000000000000e+01,3.75000000000000e-01,1.73596347980964e-01
1.70000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.70000000000000e+01,1.53180000000000e+03,8.61600000000000e+01,3.75000000000000e-01,1.84861334475112e-01
1.80000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,8.50000000000000e+01,1.53180000000000e+03,8.61800000000000e+01,3.75000000000000e-01,1.96857326674099e-01
1.90000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.50000000000000e+01,1.53180000000000e+03,8.62000000000000e+01,3.75000000000000e-01,2.09631760883400e-01
2.00000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.30000000000000e+01,1.53180000000000e+03,8.61000000000000e+01,9.76562499999813e-02,2.23235151637650e-01
2.10000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.30000000000000e+01,1.53180000000000e+03,8.60800000000000e+01,0.00000000000000e+00,2.37721291452601e-01
2.20000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.30000000000000e+01,1.53180000000000e+03,8.61000000000000e+01,0.00000000000000e+00,2.53147463539346e-01
2.30000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.40000000000000e+01,1.53180000000000e+03,8.61000000000000e+01,0.00000000000000e+00,2.69574668321968e-01
2.40000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.10000000000000e+01,1.53180000000000e+03,8.61300000000000e+01,0.00000000000000e+00,2.87067864654326e-01
2.50000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.40000000000006e+01,1.53180000000000e+03,8.61800000000000e+01,0.00000000000000e+00,3.05696226689853e-01
2.60000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.50000000000000e+01,1.53180000000000e+03,8.62000000000000e+01,0.00000000000000e+00,3.25533417420102e-01
2.70000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.30000000000000e+01,1.53180000000000e+03,8.62300000000000e+01,0.00000000000000e+00,3.46657879963711e-01
2.80000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.60000000000000e+01,1.53180000000000e+03,8.62100000000000e+01,2.69531250000024e-01,3.69153147757647e-01
2.90000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.70000000000000e+01,1.53180000000000e+03,8.61300000000000e+01,9.76562499999781e-02,3.93108174877331e-01
3.00000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.70000000000000e+01,1.53180000000000e+03,8.61300000000000e+01,0.00000000000000e+00,4.18617687791841e-01
3.10000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.30000000000000e+01,1.53180000000000e+03,8.62100000000000e+01,2.73437500000022e-01,4.45782559945162e-01
3.20000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.70000000000000e+01,1.53180000000000e+03,8.63400000000000e+01,1.01562499999978e-01,4.74710210644701e-01
3.30000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,9.00000000000000e+01,1.53180000000000e+03,8.64900000000000e+01,2.69531250000026e-01,5.05515029834405e-01
3.40000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,9.40000000000007e+01,1.53180000000000e+03,8.66100000000000e+01,3.75000000000000e-01,5.38318830432201e-01
3.50000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,9.09999999999993e+01,1.53180000000000e+03,8.64100000000000e+01,3.75000000000000e-01,5.73251330020436e-01
3.60000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.59999999999993e+01,1.53180000000000e+03,8.61300000000000e+01,3.75000000000000e-01,6.10450663794097e-01
3.70000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,8.50000000000000e+01,1.53180000000000e+03,8.60500000000000e+01,3.75000000000000e-01,6.50063930795187e-01
