# Export CSV from Simcenter Amesim 2022.1 (encoding="UTF - 8 - BOM")
"Time filename=E214E01752T_R1_211110_080023.data  ""4""","twistlock filename=E214E01752T_R1_211110_080023.data  ""4""","loadedunloaded filename=E214E01752T_R1_211110_080023.data  ""4""","tel.liftpressure filename=E214E01752T_R1_211110_080023.data  ""4""","liftheight filename=E214E01752T_R1_211110_080023.data  ""4""","Ps_liftpressure[barl] filename=E214E01752T_R1_211110_080023.data  ""4""","vehiclespeed filename=E214E01752T_R1_211110_080023.data  ""4""","Loadweight filtered filename=E214E01752T_R1_211110_080023.data  ""4"""
"s","null","null","null","null","null","null","kg"
0.00000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,5.10000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.00000000000000e-01,1.00000000000000e+00,0.00000000000000e+00,5.10000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
2.00000000000000e-01,1.00000000000000e+00,0.00000000000000e+00,5.10000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
3.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
4.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,4.80000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
5.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,4.80000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
6.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
7.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,4.80000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
8.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,4.70000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
9.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,4.60000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.00000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,4.70000000000002e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.10000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,4.99999999999998e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.20000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,4.70000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.30000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.40000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,5.20000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.50000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,5.10000000000000e+01,9.24600000000000e+02,8.38500000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.60000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,5.00000000000000e+01,9.24600000000000e+02,8.38700000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.70000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.80000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
1.90000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
2.00000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,4.80000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
2.10000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.39000000000000e+01,0.00000000000000e+00,0.00000000000000e+00
2.20000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.39200000000000e+01,0.00000000000000e+00,0.00000000000000e+00
2.30000000000001e+00,1.00000000000000e+00,0.00000000000000e+00,4.90000000000000e+01,9.24600000000000e+02,8.38900000000000e+01,0.00000000000000e+00,0.00000000000000e+00
