# Export CSV from Simcenter Amesim 2022.1 (encoding="UTF - 8 - BOM")
"Time filename=E214E01752TR1220830_034651filtered.data  ""9""","twistlock filename=E214E01752TR1220830_034651filtered.data  ""9""","loadedunloaded filename=E214E01752TR1220830_034651filtered.data  ""9""","tel.liftpressure filename=E214E01752TR1220830_034651filtered.data  ""9""","liftheight filename=E214E01752TR1220830_034651filtered.data  ""9""","Ps_liftpressure filename=E214E01752TR1220830_034651filtered.data  ""9""","vehiclespeed filename=E214E01752TR1220830_034651filtered.data  ""9""","Loadweight filtered filename=E214E01752TR1220830_034651filtered.data  ""9"""
"s","null","null","null","null","null","null","kg"
0.00000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,1.36622754856363e-13
1.00000000000000e-01,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.13298961170659e+01,0.00000000000000e+00,1.45488456849236e-13
2.00000000000000e-01,0.00000000000000e+00,1.00000000000000e+00,2.50000000000000e+02,9.10800000000000e+02,8.13002544754620e+01,0.00000000000000e+00,1.54929470560196e-13
3.00000000000001e-01,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.13800000000000e+01,0.00000000000000e+00,1.64983129025393e-13
4.00000000000001e-01,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.13800000000000e+01,0.00000000000000e+00,1.75689187890394e-13
5.00000000000001e-01,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.13800000000000e+01,0.00000000000000e+00,1.87089982617769e-13
6.00000000000001e-01,0.00000000000000e+00,1.00000000000000e+00,2.50000000000000e+02,9.10800000000000e+02,8.13798416996263e+01,0.00000000000000e+00,1.99230595896170e-13
7.00000000000002e-01,0.00000000000000e+00,1.00000000000000e+00,2.55000000000000e+02,9.10800000000000e+02,8.13000000000000e+01,0.00000000000000e+00,2.12159035912877e-13
8.00000000000002e-01,0.00000000000000e+00,1.00000000000000e+00,2.51000000000000e+02,9.10800000000000e+02,8.13001709964567e+01,0.00000000000000e+00,2.25926426194797e-13
9.00000000000002e-01,0.00000000000000e+00,1.00000000000000e+00,2.50000000000000e+02,9.10800000000000e+02,8.13800623006213e+01,0.00000000000000e+00,2.40587207768581e-13
1.00000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.14000409890665e+01,0.00000000000000e+00,2.56199354439287e-13
1.10000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.14298049949599e+01,0.00000000000000e+00,2.72824602038876e-13
1.20000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.50000000000000e+02,9.10800000000000e+02,8.13499308318976e+01,0.00000000000000e+00,2.90528692551058e-13
1.30000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.49000000000000e+02,9.10800000000000e+02,8.13300018314295e+01,0.00000000000000e+00,3.09381634077851e-13
1.40000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.49000000000000e+02,9.10800000000000e+02,8.13500589356693e+01,0.00000000000000e+00,3.29457977675854e-13
1.50000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.50000000000000e+02,9.10800000000000e+02,8.13799336562934e+01,0.00000000000000e+00,3.50837112156925e-13
1.60000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,3.73603578019023e-13
1.70000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.51000000000000e+02,9.10800000000000e+02,8.13500812711880e+01,0.00000000000000e+00,3.97847401748604e-13
1.80000000000000e+00,0.00000000000000e+00,1.00000000000000e+00,2.53000000000000e+02,9.10800000000000e+02,8.13996949828700e+01,0.00000000000000e+00,4.23664451816508e-13
1.90000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.54000000000000e+02,9.10800000000000e+02,8.12800367817352e+01,0.00000000000000e+00,4.51156817775075e-13
2.00000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.52000000000000e+02,9.10800000000000e+02,8.13300000000000e+01,0.00000000000000e+00,4.80433213955576e-13
2.10000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.49000000000000e+02,9.10800000000000e+02,8.13300000000000e+01,0.00000000000000e+00,5.11609409362308e-13
2.20000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.50000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,5.44808685463308e-13
2.30000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.49000000000000e+02,9.10800000000000e+02,8.13499454038077e+01,0.00000000000000e+00,5.80162323687953e-13
2.40000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.48000000000000e+02,9.10800000000000e+02,8.13301970850013e+01,0.00000000000000e+00,6.17810124559171e-13
2.50000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.51000000000000e+02,9.10800000000000e+02,8.13998919586623e+01,0.00000000000000e+00,6.57900960513105e-13
2.60000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.51000000000000e+02,9.10800000000000e+02,8.13499520689735e+01,0.00000000000000e+00,7.00593364592248e-13
2.70000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.49000000000000e+02,9.10800000000000e+02,8.13300909543715e+01,0.00000000000000e+00,7.46056157339977e-13
2.80000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.49000000000000e+02,9.10800000000000e+02,8.13499304235499e+01,0.00000000000000e+00,7.94469114375410e-13
2.90000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.50000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,8.46023677288438e-13
3.00000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.49000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,9.00923710666033e-13
3.10000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.49000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,9.59386308243391e-13
3.20000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.51000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,1.02164265136771e-12
3.30000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.50000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,1.08793892316926e-12
3.40000000000001e+00,0.00000000000000e+00,1.00000000000000e+00,2.51000000000000e+02,9.10800000000000e+02,8.13500000000000e+01,0.00000000000000e+00,1.15853728205469e-12
