# Export CSV from Simcenter Amesim 2022.1 (encoding="UTF - 8 - BOM")
"Time filename=E214E01752TR1220830043213filtered.data  ""12""","twistlock filename=E214E01752TR1220830043213filtered.data  ""12""","loadedunloaded filename=E214E01752TR1220830043213filtered.data  ""12""","tel.liftpressure filename=E214E01752TR1220830043213filtered.data  ""12""","liftheight filename=E214E01752TR1220830043213filtered.data  ""12""","Ps_liftpressure filename=E214E01752TR1220830043213filtered.data  ""12""","vehiclespeed filename=E214E01752TR1220830043213filtered.data  ""12""","Loadweight filtered filename=E214E01752TR1220830043213filtered.data  ""12"""
"s","null","null","null","null","null","null","kg"
0.00000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,6.90000000000000e+01,1.62840000000000e+03,8.59800000000000e+01,0.00000000000000e+00,2.19101404157996e-61
1.00000000000000e-01,1.00000000000000e+00,0.00000000000000e+00,6.90000000000000e+01,1.62840000000000e+03,8.60444253641678e+01,0.00000000000000e+00,2.33319297491554e-61
2.00000000000000e-01,1.00000000000000e+00,0.00000000000000e+00,6.90000000000000e+01,1.62840000000000e+03,8.60154850154193e+01,0.00000000000000e+00,2.48459816089069e-61
3.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,7.00000000000000e+01,1.62840000000000e+03,8.59928921988698e+01,0.00000000000000e+00,2.64582830801848e-61
4.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,7.10000000000000e+01,1.62840000000000e+03,8.60322233474414e+01,0.00000000000000e+00,2.81752097610923e-61
5.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,6.90000000000000e+01,1.62840000000000e+03,8.60177617109754e+01,0.00000000000000e+00,3.00035509740266e-61
6.00000000000001e-01,1.00000000000000e+00,0.00000000000000e+00,6.90000000000000e+01,1.62840000000000e+03,8.60838690170772e+01,0.00000000000000e+00,3.19505366130099e-61
7.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,7.00000000000000e+01,1.62840000000000e+03,8.61622444574860e+01,0.00000000000000e+00,3.40238657331927e-61
8.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,7.10000000000000e+01,1.62840000000000e+03,8.61157184388052e+01,0.00000000000000e+00,3.62317369955832e-61
9.00000000000002e-01,1.00000000000000e+00,0.00000000000000e+00,6.80000000000000e+01,1.62840000000000e+03,8.60607487470382e+01,0.00000000000000e+00,3.85828810873905e-61
1.00000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,6.70000000000000e+01,1.62840000000000e+03,8.60179493992639e+01,0.00000000000000e+00,4.10865952461838e-61
1.10000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,7.20000000000000e+01,1.62840000000000e+03,8.60193103477963e+01,0.00000000000000e+00,4.37527800243885e-61
1.20000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,7.10000000000000e+01,1.63925693967687e+03,8.60300000000000e+01,0.00000000000000e+00,4.65919784394969e-61
1.30000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,7.00000000000000e+01,1.62840000000000e+03,8.60943916973819e+01,0.00000000000000e+00,4.96154176648089e-61
1.40000000000000e+00,1.00000000000000e+00,0.00000000000000e+00,6.80000000000000e+01,1.62840000000000e+03,8.61106634125513e+01,0.00000000000000e+00,5.28350534255615e-61
